File Name,File Path,Detected Type
Microsoft.Extensions.FileProviders.Physical.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.Extensions.FileProviders.Physical.dll,File173
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\el-GR\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\bg-BG\tipresx.dll.mui,File001
Microsoft.AspNetCore.Mvc.Localization.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.AspNetCore.Mvc.Localization.dll,File025
TipTsf.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\en-US\TipTsf.dll.mui,File027
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\de-DE\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\pt-BR\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\es-ES\tipresx.dll.mui,File001
Microsoft.Extensions.FileProviders.Embedded.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.Extensions.FileProviders.Embedded.dll,File025
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\ro-RO\tipresx.dll.mui,File001
rtscom.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\en-US\rtscom.dll.mui,File024
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\sk-SK\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\es-MX\tipresx.dll.mui,File001
TabTip.exe.mui,C:\Program Files\Common Files\microsoft shared\ink\en-US\TabTip.exe.mui,File005
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\ar-SA\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\fr-CA\tipresx.dll.mui,File042
Microsoft.DotNet.Cli.Utils.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\ru\Microsoft.DotNet.Cli.Utils.resources.dll,File173
System.Runtime.Serialization.Formatters.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Runtime.Serialization.Formatters.dll,File025
Microsoft.VisualBasic.dll,C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\8.0.23\ref\net8.0\Microsoft.VisualBasic.dll,File173
System.Net.Http.Json.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Net.Http.Json.dll,File025
Microsoft.Extensions.Http.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.Extensions.Http.dll,File025
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\ta-IN\tipresx.dll.mui,File001
System.Threading.Channels.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Threading.Channels.dll,File173
System.Threading.Overlapped.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Threading.Overlapped.dll,File173
System.Xml.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Xml.dll,File025
Microsoft.DotNet.TemplateLocator.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\tr\Microsoft.DotNet.TemplateLocator.resources.dll,File173
Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\tr\Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,File173
Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\zh-Hans\Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,File173
Microsoft.DotNet.TemplateLocator.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\zh-Hans\Microsoft.DotNet.TemplateLocator.resources.dll,File173
System.Core.dll,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\8.0.23\System.Core.dll,File025
System.Xml.dll,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\8.0.23\System.Xml.dll,File025
UIAutomationTypes.resources.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\8.0.23\ru\UIAutomationTypes.resources.dll,File173
Microsoft.VisualBasic.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\9.0.12\Microsoft.VisualBasic.dll,File173
System.Core.dll,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\9.0.12\System.Core.dll,File025
System.Windows.Controls.Ribbon.resources.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\8.0.23\ja\System.Windows.Controls.Ribbon.resources.dll,File173
System.Xml.dll,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\9.0.12\System.Xml.dll,File025
Microsoft.VisualBasic.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\8.0.23\Microsoft.VisualBasic.dll,File173
System.Windows.Controls.Ribbon.resources.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\9.0.12\ja\System.Windows.Controls.Ribbon.resources.dll,File173
System.Windows.Forms.Design.resources.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\9.0.12\ja\System.Windows.Forms.Design.resources.dll,File095
UIAutomationTypes.resources.dll,C:\Program Files\dotnet\shared\Microsoft.WindowsDesktop.App\9.0.12\ru\UIAutomationTypes.resources.dll,File173
clear.exe,C:\Program Files\Git\usr\bin\clear.exe,File001
fnmatch.dll,C:\Program Files\Git\usr\lib\gawk\fnmatch.dll,File001
ieinstal.exe.mui,C:\Program Files\Internet Explorer\en-US\ieinstal.exe.mui,File005
readfile.dll,C:\Program Files\Git\usr\lib\gawk\readfile.dll,File001
msys-pcre2-posix-3.dll,C:\Program Files\Git\usr\bin\msys-pcre2-posix-3.dll,File042
api-ms-win-core-file-l2-1-0.dll,C:\Program Files\Mozilla Thunderbird\updated\api-ms-win-core-file-l2-1-0.dll,File071
dbg64.dll,C:\Program Files\IDA Freeware 8.4\plugins\dbg64.dll,File213
hmmapi.dll.mui,C:\Program Files\Internet Explorer\en-US\hmmapi.dll.mui,File005
api-ms-win-core-file-l2-1-0.dll,C:\Program Files\Mozilla Thunderbird\api-ms-win-core-file-l2-1-0.dll,File071
System.Core.dll,C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.84.0_x64__8wekyb3d8bbwe\System.Core.dll,File025
ImagingDevices.exe.mui,C:\Program Files\Windows Photo Viewer\en-US\ImagingDevices.exe.mui,File024
shellext.dll.mui,C:\Program Files\Windows Defender\en-US\shellext.dll.mui,File024
wmpnssui.dll.mui,C:\Program Files\Windows Media Player\en-US\wmpnssui.dll.mui,File024
wmpnscfg.exe.mui,C:\Program Files\Windows Media Player\en-US\wmpnscfg.exe.mui,File024
wmlaunch.exe.mui,C:\Program Files\Windows Media Player\en-US\wmlaunch.exe.mui,File005
mpvis.dll.mui,C:\Program Files\Windows Media Player\en-US\mpvis.dll.mui,File024
WMPMediaSharing.dll.mui,C:\Program Files\Windows Media Player\en-US\WMPMediaSharing.dll.mui,File024
EppManifest.dll.mui,C:\Program Files\Windows Defender\en-US\EppManifest.dll.mui,File005
wmplayer.exe.mui,C:\Program Files\Windows Media Player\en-US\wmplayer.exe.mui,File024
AddHostObjectBridgeComponent.winmd,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.54.63029.0_x64__8wekyb3d8bbwe\AddHostObjectBridgeComponent.winmd,File027
System.Xml.dll,C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.84.0_x64__8wekyb3d8bbwe\System.Xml.dll,File025
News.BackgroundTasks.winmd,C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\News.BackgroundTasks.winmd,File024
Solitaire.winmd,C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_4.25.1130.0_x64__8wekyb3d8bbwe\Solitaire.winmd,File027
Microsoft.Applications.Telemetry.Windows.native.winmd,C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_4.25.1130.0_x64__8wekyb3d8bbwe\Microsoft.Applications.Telemetry.Windows.native.winmd,File027
McgBridge.Uwp.winmd,C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_4.25.1130.0_x64__8wekyb3d8bbwe\McgBridge.Uwp.winmd,File001
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\tt-RU\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\mr-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\tr-TR\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\te-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\uk-UA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\uz-Latn-UZ\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\mt-MT\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.ui.xaml.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\zh-CN\Microsoft.ui.xaml.dll.mui,File042
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sv-SE\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\bn-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sr-Latn-RS\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ta-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sr-Cyrl-RS\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sr-Cyrl-BA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\bg-BG\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\da-DK\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\az-Latn-AZ\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sq-AL\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sl-SI\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\as-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\sk-SK\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\zh-TW\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ru-RU\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ro-RO\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\ar-SA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\quz-PE\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\pt-BR\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\pl-PL\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\pa-IN\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\pt-PT\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\nn-NO\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\am-ET\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\cy-GB\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\ca-Es-VALENCIA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\cs-CZ\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\nl-NL\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ur-PK\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\zh-CN\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ne-NP\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\nb-NO\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\or-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\af-ZA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ml-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\vi-VN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\mk-MK\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\mi-NZ\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\ca-ES\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x86__8wekyb3d8bbwe\bs-Latn-BA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\lv-LV\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ms-MY\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.ui.xaml.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\zh-TW\Microsoft.ui.xaml.dll.mui,File042
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\lt-LT\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\lo-LA\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\lb-LU\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\kok-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ko-KR\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\kn-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\kk-KZ\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\th-TH\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\km-KH\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ja-JP\Microsoft.UI.Xaml.Phone.dll.mui,File027
Microsoft.ui.xaml.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ja-JP\Microsoft.ui.xaml.dll.mui,File101
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\ug-CN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\bn-IN\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x64__8wekyb3d8bbwe\ga-IE\Microsoft.UI.Xaml.Phone.dll.mui,File160
Microsoft.UI.Xaml.Phone.dll.mui,C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.6_6000.401.2352.0_x64__8wekyb3d8bbwe\lt-LT\Microsoft.UI.Xaml.Phone.dll.mui,File160
